group_key,count,sample_actor_labels,source_folder_path,asset_path,actor_class_path,assembly_signature,render_part_count,total_render_part_count,source_actor_count,unsupported_component_count,unsupported_component_types,risk_flags,suggested_object_type_rid,suggested_object_type_name,hierarchy_path,classification_status,action,notes
assembly_signature:bd117a1b56e1a3cb0e22dd46ddc13a67,1,Cone351,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone351.Cone351,/Script/Engine.StaticMeshActor,bd117a1b56e1a3cb0e22dd46ddc13a67,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:c271514b403371c9845a205b022fa680,1,Cone298,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone298.Cone298,/Script/Engine.StaticMeshActor,c271514b403371c9845a205b022fa680,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:c6478a6ce5dcf698923f9587ec2d51cd,1,Cone341,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone341.Cone341,/Script/Engine.StaticMeshActor,c6478a6ce5dcf698923f9587ec2d51cd,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:ce4b0327ae7d0b66f48ac017212083fa,1,Cone332,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone332.Cone332,/Script/Engine.StaticMeshActor,ce4b0327ae7d0b66f48ac017212083fa,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:cfadd9e443742af201cb4eb76ee80f9d,1,Cone338,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone338.Cone338,/Script/Engine.StaticMeshActor,cfadd9e443742af201cb4eb76ee80f9d,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:d41fed449610fc6cae3aa69b100e76db,1,Cone112,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone112.Cone112,/Script/Engine.StaticMeshActor,d41fed449610fc6cae3aa69b100e76db,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:d5099918016c3bf98dc34685961631d0,1,Cone297,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone297.Cone297,/Script/Engine.StaticMeshActor,d5099918016c3bf98dc34685961631d0,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:d5452c3deaeb929bfdb81edce643ae13,1,Cone335,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone335.Cone335,/Script/Engine.StaticMeshActor,d5452c3deaeb929bfdb81edce643ae13,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:df43fa40724c89f88a9b5f9726a2d229,1,Obj3d66-15761192-2-974,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-15761192-2-974.Obj3d66-15761192-2-974,/Script/Engine.StaticMeshActor,df43fa40724c89f88a9b5f9726a2d229,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:e50c23813764d0883099151fc19350b3,1,Cone303,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone303.Cone303,/Script/Engine.StaticMeshActor,e50c23813764d0883099151fc19350b3,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:ecfb238e5e78f1c445c8ecfb47bd5eca,1,Cone348,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone348.Cone348,/Script/Engine.StaticMeshActor,ecfb238e5e78f1c445c8ecfb47bd5eca,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:ef9192e93e9ea2bd0a00a18ab9944146,1,Cone267,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone267.Cone267,/Script/Engine.StaticMeshActor,ef9192e93e9ea2bd0a00a18ab9944146,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:f0eb8b900a67e307b45bda53c4a5cf5d,1,Cone139,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone139.Cone139,/Script/Engine.StaticMeshActor,f0eb8b900a67e307b45bda53c4a5cf5d,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:f1cc3b0312396a0d986c7e9648f7d5cd,1,Cone355,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone355.Cone355,/Script/Engine.StaticMeshActor,f1cc3b0312396a0d986c7e9648f7d5cd,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:f2333b37b06ed1777c9ec73d3b0f4d0c,1,Cone326,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone326.Cone326,/Script/Engine.StaticMeshActor,f2333b37b06ed1777c9ec73d3b0f4d0c,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:f2545aad0f4b9db893af4d55a1fb9418,1,Cone290,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone290.Cone290,/Script/Engine.StaticMeshActor,f2545aad0f4b9db893af4d55a1fb9418,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:f591e703368008ee39ce9b8645426307,1,Cone300,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone300.Cone300,/Script/Engine.StaticMeshActor,f591e703368008ee39ce9b8645426307,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:f6714dfdf7c08dabab3150a30b1d783a,1,3d66-Editable_Poly-23010744-321,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/3d66-Editable_Poly-23010744-321.3d66-Editable_Poly-23010744-321,/Script/Engine.StaticMeshActor,f6714dfdf7c08dabab3150a30b1d783a,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:f78b349a1ff1f8b083de01b020031768,1,Cone330,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone330.Cone330,/Script/Engine.StaticMeshActor,f78b349a1ff1f8b083de01b020031768,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:f94426e64cefbaf47afb17b8e7a4de19,1,Cone321,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone321.Cone321,/Script/Engine.StaticMeshActor,f94426e64cefbaf47afb17b8e7a4de19,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:fc8588b3ec504e0fbc5d35a2b8a1dbcd,1,Cone333,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone333.Cone333,/Script/Engine.StaticMeshActor,fc8588b3ec504e0fbc5d35a2b8a1dbcd,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:ff154939bf1640906697b5f553aa2206,1,3d66-Editable_Poly-23010744-319,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/3d66-Editable_Poly-23010744-319.3d66-Editable_Poly-23010744-319,/Script/Engine.StaticMeshActor,ff154939bf1640906697b5f553aa2206,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:ffa3ddf99017adea2389208431d8db1b,1,Cone323,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone323.Cone323,/Script/Engine.StaticMeshActor,ffa3ddf99017adea2389208431d8db1b,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
