ext_guid,actor_label,datasmith_handle,selection_source,business_type,business_type_name,object_type_rid,hierarchy_path,source_actor_count,render_part_count,mirrored_source_actor_count,assembly_signature,ue_path
29218C27-450B-D0F6-A204-D1B1B2ECF7C9,MA700,139023,candidate,fixed_wing_aircraft,固定翼航空器,zhhz.fixed_wing_aircraft,航空展馆/固定翼航空器,9,8,0,e610ba4a19d94af3a71e9b58bd119556,0713/MA700
82606530-4C73-0A55-049C-34993E3B18AE,MA702,419029,supplemental,fixed_wing_aircraft,固定翼航空器,zhhz.fixed_wing_aircraft,航空展馆/固定翼航空器,111,106,35,71087d041035248cf023a96d395b07b1,0713/MA702
3F40AC2E-4D58-48E6-D8EF-1EBA2030E15C,PL-108,467825,candidate,aviation_weapon,航空武器/弹药,zhhz.aviation_weapon,航空展馆/航空武器与弹药,7,6,0,222f3b09472b732eae21c23d902945ef,0713/PL-108
4CB64195-4EB3-E08A-4581-14B0F27FEFD0,PL-10E,467826,candidate,aviation_weapon,航空武器/弹药,zhhz.aviation_weapon,航空展馆/航空武器与弹药,2,1,0,58551fc496cd057cc557dd259a803f95,0713/PL-10E
905F049F-4373-E4B8-85DC-8D95A1626CE5,PL-10E001,445164,candidate,aviation_weapon,航空武器/弹药,zhhz.aviation_weapon,航空展馆/航空武器与弹药,2,1,0,214d6cf824ba1fe452df9b8d394df12d,0713/PL-10E001
6CFD8F2A-414D-CF23-DE60-E4802054D36C,PL-10E003,647740,candidate,aviation_weapon,航空武器/弹药,zhhz.aviation_weapon,航空展馆/航空武器与弹药,2,1,0,7d3f5d1d8752da5c7ba3cbadf55b8e88,0713/PL-10E003
22FB635C-44C5-E97D-4504-239DB50C81A1,PL-12AE,467827,candidate,aviation_weapon,航空武器/弹药,zhhz.aviation_weapon,航空展馆/航空武器与弹药,2,1,0,ec89b5812576f9a5cddea22a85df401d,0713/PL-12AE
199AF355-4B94-6B70-FF64-2FACB9C9B059,PL-12AE001,445165,candidate,aviation_weapon,航空武器/弹药,zhhz.aviation_weapon,航空展馆/航空武器与弹药,2,1,0,9a46317b5624bff4bdb30abef5eb3066,0713/PL-12AE001
B420AD25-41F1-8728-3599-F0ACFF82A36D,PL-12AE003,647741,candidate,aviation_weapon,航空武器/弹药,zhhz.aviation_weapon,航空展馆/航空武器与弹药,2,1,0,e0d0cd761c68b2050b8402f4f0cf78be,0713/PL-12AE003
DC893275-4389-112D-1D96-6D9270C973E6,PL-15E,410185,candidate,aviation_weapon,航空武器/弹药,zhhz.aviation_weapon,航空展馆/航空武器与弹药,2,1,0,18885da9d9467c6eacebc29eb02060a3,0713/PL-15E
D63E2CB1-4548-370A-9828-828B2E8E33E6,PL-15E001,647742,candidate,aviation_weapon,航空武器/弹药,zhhz.aviation_weapon,航空展馆/航空武器与弹药,2,1,0,bdbb4d3d699fbe3045bc790261f1197b,0713/PL-15E001
4701A663-498F-F8DA-4637-77A69372534C,PL-15EII,468598,candidate,aviation_weapon,航空武器/弹药,zhhz.aviation_weapon,航空展馆/航空武器与弹药,2,1,0,ed88412999f0a440b4f61c64ba83162c,0713/PL-15EII
B21312CD-41EF-ED89-DCB1-F2898ECDE694,PL-15EII001,467828,candidate,aviation_weapon,航空武器/弹药,zhhz.aviation_weapon,航空展馆/航空武器与弹药,2,1,0,fca88cbca50a7aaeadb87ae9fd29cdc5,0713/PL-15EII001
3D3B247D-434F-A4AD-6E80-6E858D0C4D52,PL-5DE,467829,candidate,aviation_weapon,航空武器/弹药,zhhz.aviation_weapon,航空展馆/航空武器与弹药,2,1,0,6d15973c8bbd49a56405839359bc7b68,0713/PL-5DE
F3ABA60F-424B-721F-5D3E-75941E1BABBE,PL-90AE002,467830,candidate,aviation_weapon,航空武器/弹药,zhhz.aviation_weapon,航空展馆/航空武器与弹药,3,2,0,0960100cff80819302516efd4869ae4a,0713/PL-90AE002
EA797DFA-49A0-E18E-5678-28AD1DF8B13D,PLXX-3巡飞弹,555119,candidate,aviation_weapon,航空武器/弹药,zhhz.aviation_weapon,航空展馆/航空武器与弹药,4,1,0,ddc745c567bac40ee98366a5afe2860c,0713/PLXX-3巡飞弹
349F16F9-4C65-3244-50E6-D88C2E19E0F2,SD-100,102504,candidate,aviation_weapon,航空武器/弹药,zhhz.aviation_weapon,航空展馆/航空武器与弹药,14,13,0,f6a55481fb6b33d217abf46a81fb3b75,0713/SD-100
52F91A03-42F0-408B-10FC-F0B45B448F8E,SD-100X,407842,candidate,aviation_weapon,航空武器/弹药,zhhz.aviation_weapon,航空展馆/航空武器与弹药,14,13,0,f5f777edb6dbfb270ecfc5ae8c2523e7,0713/SD-100X
C654EB73-4B1A-9C9B-3341-3A9CD831F725,SD-10A,27827,candidate,aviation_weapon,航空武器/弹药,zhhz.aviation_weapon,航空展馆/航空武器与弹药,14,13,0,bc449cc309a6d0ac9542b201def30ca7,0713/SD-10A
C3F75B82-4935-87DD-8CC0-DC85AA22B4EE,SD-30,31200,candidate,aviation_weapon,航空武器/弹药,zhhz.aviation_weapon,航空展馆/航空武器与弹药,11,10,4,e95c0157ca67ccd837e0390031c08051,0713/SD-30
D2FEB486-4A9B-AA27-5AE6-34BCEA7DE66E,SF50,138347,candidate,fixed_wing_aircraft,固定翼航空器,zhhz.fixed_wing_aircraft,航空展馆/固定翼航空器,3,2,0,e8a4d20653b2e4ea110cc2c60f2fd63a,0713/SF50
1F7A53E2-481B-739D-CCD1-6BA22CE8DBDD,TL-20,467841,candidate,aviation_weapon,航空武器/弹药,zhhz.aviation_weapon,航空展馆/航空武器与弹药,14,12,3,5092e6b46cdec69787b58c9057ce0d68,0713/TL-20
C04B0735-4279-FF5A-F504-9AA3692502ED,TY-20I,648532,candidate,aviation_weapon,航空武器/弹药,zhhz.aviation_weapon,航空展馆/航空武器与弹药,11,10,4,2414d793007c64a2c0db9ca059ca0fa2,0713/TY-20I
AA708354-43A9-D881-601B-C297CB86A51D,TY-20R,38189,candidate,aviation_weapon,航空武器/弹药,zhhz.aviation_weapon,航空展馆/航空武器与弹药,11,10,4,2c3236b585fc7341dba6ac95833df924,0713/TY-20R
017784D4-4B2A-4BDD-F0FB-50B73C6BF196,WL-10A,414391,candidate,unmanned_new_aircraft,无人/新型航空器,zhhz.unmanned_new_aircraft,航空展馆/无人及新型航空器,21,20,0,30407e60b725bbd0a0504af0fb16c21b,0713/WL-10A
D7828349-49E4-74B6-26F7-6F97FC1009AE,WL-10B001,482371,candidate,unmanned_new_aircraft,无人/新型航空器,zhhz.unmanned_new_aircraft,航空展馆/无人及新型航空器,21,20,0,9b5691a847cc781fcfa1d1b81f00495f,0713/WL-10B001
B6D15FFB-4072-063A-CCBF-DEB8A7D6687A,WL-1G_重油）,486932,candidate,unmanned_new_aircraft,无人/新型航空器,zhhz.unmanned_new_aircraft,航空展馆/无人及新型航空器,17,14,12,fa11be28408e4fd2bda44fb45d08c959,0713/WL-1G_重油）
AFF969C3-4102-1DEA-59CE-5D9C8DA6C88C,WL-2D,131162,candidate,unmanned_new_aircraft,无人/新型航空器,zhhz.unmanned_new_aircraft,航空展馆/无人及新型航空器,2,1,0,f7dc64ff9ea722fabeff1ed52be9d19e,0713/WL-2D
4DC99AE2-4D36-E0A2-70D2-A0B967FA4F51,WL-2螺旋桨系统,579862,candidate,aircraft_component,航空部件/子系统,zhhz.aircraft_component,航空展馆/航空部件与子系统,3,2,0,a695a580b5ec7b49f6ace3e7b6325370,0713/WL-2螺旋桨系统
486ECDC3-47F6-B5AC-9D05-2C874DCD3312,WL-3_X_001,565799,candidate,unmanned_new_aircraft,无人/新型航空器,zhhz.unmanned_new_aircraft,航空展馆/无人及新型航空器,150,149,0,2ca207d9c5504472ed9d851f9efa068a,0713/WL-3_X_001
71581708-4245-9E29-CC48-D986A41811B0,WL-3_X_002,608334,candidate,unmanned_new_aircraft,无人/新型航空器,zhhz.unmanned_new_aircraft,航空展馆/无人及新型航空器,150,149,0,bab3de2d6731a66900031a5fbb8ee479,0713/WL-3_X_002
4258FC86-4599-F28C-835B-B1B9ADEBD778,WL-6,414430,candidate,unmanned_new_aircraft,无人/新型航空器,zhhz.unmanned_new_aircraft,航空展馆/无人及新型航空器,18,17,0,2875b02f55cb37f3cffe6e1321e90714,0713/WL-6
E716E99E-4652-9E80-410C-8796E836D389,WZ-7,77068,candidate,unmanned_new_aircraft,无人/新型航空器,zhhz.unmanned_new_aircraft,航空展馆/无人及新型航空器,9,8,0,37ebbc9cfedf59591b4b250413b43d05,0713/WZ-7
9FE2DB0B-433B-C2D8-9D58-D999D042E782,WZ-8,156870,candidate,unmanned_new_aircraft,无人/新型航空器,zhhz.unmanned_new_aircraft,航空展馆/无人及新型航空器,14,13,0,e403eeef00f6a4e8173a13b47e93fb15,0713/WZ-8
CC870770-4026-C894-E498-FEAC062590A4,XG-E800,581050,candidate,unmanned_new_aircraft,无人/新型航空器,zhhz.unmanned_new_aircraft,航空展馆/无人及新型航空器,8,7,0,861852442bd6024084b5fd39d7f271b8,0713/XG-E800
C5C92FAF-4685-98C2-7B5C-779EBC1098C2,Y-12E008,458506,candidate,fixed_wing_aircraft,固定翼航空器,zhhz.fixed_wing_aircraft,航空展馆/固定翼航空器,10,7,0,439f09aac12f2466ebb13c3302abe993,0713/Y-12E008
E41A2DA3-4C8D-70D1-FB17-F190D72EFA87,Y-12F_消防,200309,candidate,fixed_wing_aircraft,固定翼航空器,zhhz.fixed_wing_aircraft,航空展馆/固定翼航空器,10,7,0,f5d149be658cbaf04562e50509bc0b7e,0713/Y-12F_消防
11833226-4FDA-5A95-E679-2CBF2B6EFED1,Y-20B,636956,candidate,fixed_wing_aircraft,固定翼航空器,zhhz.fixed_wing_aircraft,航空展馆/固定翼航空器,53,52,0,e6a5ddd28ce9df4f1bbb7161420685e3,0713/Y-20B
620E56C2-4285-A997-F99C-90822E649379,Y-9E,75870,candidate,fixed_wing_aircraft,固定翼航空器,zhhz.fixed_wing_aircraft,航空展馆/固定翼航空器,7,6,0,bab34a106c2481fb7f060b23379b2f9d,0713/Y-9E
36D357AE-46FA-1408-D9E9-198B2C13ABA1,Y-9反潜巡逻,102922,candidate,fixed_wing_aircraft,固定翼航空器,zhhz.fixed_wing_aircraft,航空展馆/固定翼航空器,8,7,0,75c118b0c1b971dac75d5d38bdf3f00b,0713/Y-9反潜巡逻
1F9E1FE0-40DB-0E2D-B559-42A064E0AC10,Y-9电子侦察,393986,candidate,fixed_wing_aircraft,固定翼航空器,zhhz.fixed_wing_aircraft,航空展馆/固定翼航空器,7,6,0,34aca4e78aad11a0dc39a3da6e2cffb9,0713/Y-9电子侦察
58C0A7A6-4698-3466-B014-EDB8EF163C7D,Y-9雷达干扰,101498,candidate,fixed_wing_aircraft,固定翼航空器,zhhz.fixed_wing_aircraft,航空展馆/固定翼航空器,8,7,0,fcb03897d068fc0b9f81f1e696395c47,0713/Y-9雷达干扰
A948519A-4762-3B69-8D54-22BEA5BA0104,YJ-9ER,467840,candidate,aviation_weapon,航空武器/弹药,zhhz.aviation_weapon,航空展馆/航空武器与弹药,17,14,6,15def895c1ae98e6649827f375aef30b,0713/YJ-9ER
