group_key,count,sample_actor_labels,source_folder_path,asset_path,actor_class_path,assembly_signature,render_part_count,total_render_part_count,source_actor_count,unsupported_component_count,unsupported_component_types,risk_flags,suggested_object_type_rid,suggested_object_type_name,hierarchy_path,classification_status,action,notes
assembly_signature:e46028aa0314b3292ad7c8967ca22b70,1,Cylinder32238884,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32238884.Cylinder32238884,/Script/Engine.StaticMeshActor,e46028aa0314b3292ad7c8967ca22b70,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e46a049cf32934d16d5ccbd71796eae4,1,Cylinder32239153,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32239153.Cylinder32239153,/Script/Engine.StaticMeshActor,e46a049cf32934d16d5ccbd71796eae4,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e4754f464decb0f0405efcd97be414b6,1,Cylinder32237805,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32237805.Cylinder32237805,/Script/Engine.StaticMeshActor,e4754f464decb0f0405efcd97be414b6,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e497b90017787763323be40d5432b00f,1,Cylinder32237835,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32237835.Cylinder32237835,/Script/Engine.StaticMeshActor,e497b90017787763323be40d5432b00f,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e4d6caae47f2bc9e5667772819155fe8,1,Cylinder32240195,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32240195.Cylinder32240195,/Script/Engine.StaticMeshActor,e4d6caae47f2bc9e5667772819155fe8,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e4d80298e1ee7f1a22a9bd5d430786de,1,Cylinder32239721,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32239721.Cylinder32239721,/Script/Engine.StaticMeshActor,e4d80298e1ee7f1a22a9bd5d430786de,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e4eae51d95285fc4db5c3423105bf6ee,1,Cylinder32237534,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32237534.Cylinder32237534,/Script/Engine.StaticMeshActor,e4eae51d95285fc4db5c3423105bf6ee,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e4f8ef01e7cdd62ff84d50e2ef91de47,1,Cylinder32240967,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32240967.Cylinder32240967,/Script/Engine.StaticMeshActor,e4f8ef01e7cdd62ff84d50e2ef91de47,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e4fb96a941737054dd4f21e47832b47f,1,Cylinder32238589,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32238589.Cylinder32238589,/Script/Engine.StaticMeshActor,e4fb96a941737054dd4f21e47832b47f,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e5033e7e01450ab22877a347cfe120a0,1,Cylinder32237555,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32237555.Cylinder32237555,/Script/Engine.StaticMeshActor,e5033e7e01450ab22877a347cfe120a0,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e50835c502af117160fe22e9565b144e,1,Cylinder32240110,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32240110.Cylinder32240110,/Script/Engine.StaticMeshActor,e50835c502af117160fe22e9565b144e,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e50c23813764d0883099151fc19350b3,1,Cone303,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone303.Cone303,/Script/Engine.StaticMeshActor,e50c23813764d0883099151fc19350b3,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e520e980f548bcccb532fe7478ab809e,1,Cylinder32241148,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32241148.Cylinder32241148,/Script/Engine.StaticMeshActor,e520e980f548bcccb532fe7478ab809e,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
