group_key,count,sample_actor_labels,source_folder_path,asset_path,actor_class_path,assembly_signature,render_part_count,total_render_part_count,source_actor_count,unsupported_component_count,unsupported_component_types,risk_flags,suggested_object_type_rid,suggested_object_type_name,hierarchy_path,classification_status,action,notes
assembly_signature:7718cde2c3c9281f4f94be7144c6a6a6,1,Group2112604037,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Shape2565.Shape2565,/Script/Engine.Actor,7718cde2c3c9281f4f94be7144c6a6a6,2,2,3,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:C22F7CC64EE934121C383BAB38565B6C
assembly_signature:774249f24d0a18a432c790d9d31b3bd3,1,座舱/模拟训练系统-05,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/AVIC_0706/Geometries/Box2131643711.Box2131643711,/Script/Engine.Actor,774249f24d0a18a432c790d9d31b3bd3,28,28,29,0,,composite_assembly,zhhz.aircraft_model_equipment,航模设备,航模设备,confirmed,create_experimental,round4 reviewed group=actor:03E910D14710404186AF3EBFB2C2ECBE
assembly_signature:79f88efcedabecdbdbf65329b6969ce7,1,Group2136669863,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Rectangle2133396176.Rectangle2133396176,/Script/Engine.Actor,79f88efcedabecdbdbf65329b6969ce7,2,2,3,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:4FE8C2E242D06B2324405C94EF960470
assembly_signature:7a3b284cb244a5f35a505cf7dee5f397,1,Group2136669592,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-8261284-29-108.Obj3d66-8261284-29-108,/Script/Engine.Actor,7a3b284cb244a5f35a505cf7dee5f397,2,2,3,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:E2D1380B4FA5D15245788B9F40FDC4C3
assembly_signature:7a621ffb44dfb52ee3ee7078eb6dfe46,1,组2142381011,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Box2131642477_2.Box2131642477_2,/Script/Engine.Actor,7a621ffb44dfb52ee3ee7078eb6dfe46,2,2,3,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:563EF335435759DDD079EE9500739916
assembly_signature:7ab47235a502bfd9ecb4641e81bd0746,1,Group2136669318,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-15645877-72-454.Obj3d66-15645877-72-454,/Script/Engine.Actor,7ab47235a502bfd9ecb4641e81bd0746,1,1,2,0,,,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:9153797F4BD6E2E8010A6F9E41FFB0F5
assembly_signature:7bfa9e783e617cca6fb4d945215f9125,1,组2142378661,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Box2131642561_2.Box2131642561_2,/Script/Engine.Actor,7bfa9e783e617cca6fb4d945215f9125,44,44,60,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:C3205CDA4CFE70E425CFA88539C2C799
assembly_signature:7bfb5817c65da75a97b002bd7980848e,1,GW012,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Object10129421.Object10129421,/Script/Engine.Actor,7bfb5817c65da75a97b002bd7980848e,2,2,3,0,,composite_assembly,zhhz.decorative_wall,装饰墙,建筑附属设施,confirmed,create_experimental,round4 reviewed group=actor:2622D11B42A428F47852328D0CC20F20
assembly_signature:7c2cb85fecce4fe7051905898ab0fa90,1,航电/传感器/对抗设备-02,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Line2144961809.Line2144961809,/Script/Engine.Actor,7c2cb85fecce4fe7051905898ab0fa90,2,2,3,0,,composite_assembly,zhhz.aircraft_model_equipment,航模设备,航模设备,confirmed,create_experimental,round4 reviewed group=actor:E403588F49A3D2B30FED1599C2C2FE59
assembly_signature:7c3ca8ceaec67db2e057bc2c94293c7e,1,Group2136670053,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-15586797-40-866.Obj3d66-15586797-40-866,/Script/Engine.Actor,7c3ca8ceaec67db2e057bc2c94293c7e,6,6,7,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:472BFD8B454872670FB5A598713C512D
assembly_signature:7c62b930d89cccfaf67be53c0632a7c8,1,Group2136670200,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Rectangle2133400534.Rectangle2133400534,/Script/Engine.Actor,7c62b930d89cccfaf67be53c0632a7c8,5,5,6,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:90137A534AE06833C84581A843C8879C
assembly_signature:7cd849fe0a88bf82f3b88cff309dffca,2,Group2136670271 | Group2136670269,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/AVIC_0706/Geometries/Rectangle2133396034.Rectangle2133396034,/Script/Engine.Actor,7cd849fe0a88bf82f3b88cff309dffca,3,6,8,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:B073BAB8439B65E549A7CD91F3E19732
assembly_signature:7cdf59f2ecc070b0734f8940164384ec,1,100-054,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Box2131643778.Box2131643778,/Script/Engine.Actor,7cdf59f2ecc070b0734f8940164384ec,2,2,3,0,,composite_assembly,zhhz.device_screen,装置屏幕,显示与媒体设备,confirmed,create_experimental,round4 reviewed group=actor:0CF77B7443A09BCC18113DA0D3FBE89E
